id,symbol,type,entryPrice,initialSize,currentSize,stopLoss,openTime,closeTime,closePrice,pnl,status,strategy
quant-1770730131630,XAUUSD,BUY,5037.705,0.01,0.006,5037.705,1770730131630,,,3.685214556670727,OPEN,AI_AGENT
quant-1770724691732,XAUUSD,BUY,5056.525,0.01,0.01,5048.16,1770724691732,1770725170737,5047.985000000001,-6.508830276487739,CLOSED,AI_AGENT
quant-1770721471729,XAUUSD,SELL,5045.285,0.01,0.01,5050,1770721471729,1770721543249,5049.764999999999,-3.575192482215681,CLOSED,AI_AGENT
quant-1770720748671,XAUUSD,SELL,5054.725,0.01,0.002,5045.469925,1770720748671,1770729457964,5045.57,14.038278948550595,CLOSED,AI_AGENT
quant-1770714760619,XAUUSD,SELL,5054.89,0.01,0.006,5054.89,1770714760619,1770719585034,5054.58,3.693871244637313,CLOSED,AI_AGENT
quant-1770711725127,XAUUSD,SELL,5038.62,0.02,0.02,5043,1770711725127,1770712701307,5043.055,-6.8753154233801945,CLOSED,AI_AGENT
quant-1770708107084,XAUUSD,SELL,5027.5599999999995,0.01,0.01,5033.56,1770708107084,1770708954583,5033.48,-4.542727977645495,CLOSED,AI_AGENT
quant-1770706822211,XAUUSD,SELL,5022.639999999999,0.01,0.01,5030,1770706822211,1770707099977,5029.585,-5.39018503620332,CLOSED,AI_AGENT
quant-1770705737199,XAUUSD,SELL,5032.0599999999995,0.01,0.006,5032.0599999999995,1770705737199,1770707556692,5033.65,2.937334649257478,CLOSED,AI_AGENT
quant-1770698435729,XAUUSD,BUY,5024.59,0.01,0.01,5017,1770698435729,1770701244411,5016.115,-6.556442417332,CLOSED,AI_AGENT
quant-1770697645910,XAUUSD,SELL,5027.145,0.01,0.01,5032.15,1770697645910,1770698955140,5031.99,-3.7967513840417384,CLOSED,AI_AGENT
quant-1770685140892,XAUUSD,SELL,5018.395,0.01,0.01,5025,1770685140892,1770685207059,5024.585,-4.893290454611686,CLOSED,AI_AGENT
quant-1770680126516,XAUUSD,SELL,5019.085,0.01,0.01,5025,1770680126516,1770680161063,5023.915,-4.417099912681039,CLOSED,AI_AGENT
quant-1770679102310,XAUUSD,SELL,5021.345,0.01,0.01,5030,1770679102310,1770679320430,5028.43,-6.350910638049011,CLOSED,AI_AGENT
quant-1770676097588,XAUUSD,SELL,5057.775,0.01,0.002,5014.269,1770676097588,1770678782615,5013.285,23.210682281718185,CLOSED,AI_AGENT
quant-1770663834237,XAUUSD,BUY,5065.295,0.01,0.006,5065.295,1770663834237,1770671695393,5064.18,3.174533670801071,CLOSED,AI_AGENT
quant-1770663292141,XAUUSD,BUY,5057.42,0.01,0.006,5057.42,1770663292141,1770672517871,5057.43,3.5498021929182904,CLOSED,AI_AGENT
quant-1770654586758,XAUUSD,SELL,5073.08,0.01,0.01,5080,1770654586758,1770655545338,5079.700000000001,-5.0992786386317945,CLOSED,AI_AGENT
quant-1770651528450,XAUUSD,BUY,5051.299999999999,0.03,0.03,5048.58,1770651528450,1770651635860,5048.96,-6.204666289073907,CLOSED,AI_AGENT
quant-1770645826426,XAUUSD,SELL,5006.79,0.01,0.01,5012.79,1770645826426,1770645871965,5012.48,-4.413392667317021,CLOSED,AI_AGENT
quant-1770644796646,XAUUSD,BUY,5000.05,0.01,0.002,5054.707675,1770644796646,1770659476752,5052.145,20.348121584840726,CLOSED,AI_AGENT
quant-1770640329134,XAUUSD,SELL,5011.88,0.01,0.01,5020,1770640329134,1770640619531,5020.51,-6.558265979819459,CLOSED,AI_AGENT
quant-1770639479566,XAUUSD,SELL,5012.27,0.01,0.01,5020,1770639479566,1770640619539,5020.51,-6.272486791871773,CLOSED,AI_AGENT
quant-1770636423949,XAUUSD,SELL,5000.35,0.02,0.02,5005,1770636423949,1770636476104,5004.525,-6.830676347130031,CLOSED,AI_AGENT
quant-1770636121445,XAUUSD,SELL,4996.695,0.01,0.01,5001.7,1770636121445,1770636249572,5001.3099999999995,-3.6990915736382637,CLOSED,AI_AGENT
quant-1770632764917,XAUUSD,SELL,5000.39,0.02,0.012,5000.39,1770632764917,1770636249324,5000.75,7.055269367533786,CLOSED,AI_AGENT
quant-1770631798754,XAUUSD,SELL,5009.425,0.01,0.01,5015,1770631798754,1770632135908,5015.395,-4.676862938157236,CLOSED,AI_AGENT
